feature,importance
int_rate,0.09431533
grade_B,0.09210915
term__60_months,0.056043155
risk_score,0.01135358
home_ownership_MORTGAGE,0.008176546
home_ownership_RENT,0.0076764957
avg_cur_bal,0.0067392047
inq_last_6mths,0.00628866
fico_range_low,0.0062303166
fico_range_high,0.0057948395
earliest_cr_line_Sep_77,0.0057674865
earliest_cr_line_Oct_97,0.0056885695
grade_C,0.0055490127
earliest_cr_line_Mar_03,0.0054550366
earliest_cr_line_Jul_87,0.005370857
purpose_credit_card,0.0053703124
verification_status_Verified,0.0052106557
earliest_cr_line_Jan_11,0.005113087
num_actv_bc_tl,0.005045394
addr_state_OR,0.005028848
credit_stress,0.0049961293
installment_to_income,0.00490994
addr_state_CO,0.004888722
earliest_cr_line_Nov_96,0.004878081
addr_state_WA,0.004818998
addr_state_SC,0.004817264
addr_state_CA,0.0046302485
earliest_cr_line_Nov_99,0.0045406274
addr_state_LA,0.0045311702
addr_state_OK,0.004451979
addr_state_NJ,0.004408346
earliest_cr_line_Aug_98,0.0043976167
addr_state_MT,0.0043535335
earliest_cr_line_Apr_03,0.004352823
earliest_cr_line_Jul_05,0.004278415
purpose_vacation,0.0042752074
earliest_cr_line_Sep_09,0.0042415145
earliest_cr_line_Sep_01,0.004222825
emp_length_5_years,0.0041987333
earliest_cr_line_Feb_99,0.004146147
earliest_cr_line_Nov_10,0.0041410294
addr_state_GA,0.0041410043
earliest_cr_line_Feb_00,0.004127562
tot_cur_bal,0.0041167736
revol_bal,0.004099655
installment_income_ratio,0.004095414
num_rev_accts,0.004087835
earliest_cr_line_Oct_90,0.004046139
collections_12_mths_ex_med,0.0040147915
pub_rec,0.004004618
loan_income_ratio,0.003951417
payment_capacity,0.0039225584
earliest_cr_line_Oct_00,0.0039153346
earliest_cr_line_Sep_99,0.003885306
revol_income_ratio,0.003881266
grade_F,0.0038790659
home_ownership_OWN,0.0038675726
addr_state_ME,0.0038314513
earliest_cr_line_Sep_07,0.0038170086
earliest_cr_line_Sep_06,0.003793543
earliest_cr_line_May_04,0.0037753803
earliest_cr_line_Oct_04,0.0037422827
addr_state_MA,0.00373874
earliest_cr_line_Aug_03,0.003718161
earliest_cr_line_Feb_01,0.0037136676
earliest_cr_line_May_07,0.0037050245
bc_open_to_buy,0.0036986154
loan_to_income,0.003676881
earliest_cr_line_Jun_78,0.0036722934
purpose_major_purchase,0.0036591347
sub_grade_A4,0.0036556325
credit_utilization,0.0036386051
earliest_cr_line_Mar_02,0.0036155377
earliest_cr_line_Mar_92,0.003613381
open_acc_ratio,0.0036036216
earliest_cr_line_Jul_98,0.0036006353
earliest_cr_line_Jan_87,0.0035965345
dti,0.0035631403
earliest_cr_line_Jun_05,0.0035441003
annual_inc,0.0035318183
earliest_cr_line_Aug_11,0.0035271512
earliest_cr_line_Dec_99,0.0035042039
earliest_cr_line_Nov_06,0.0034906438
pub_rec_bankruptcies,0.0034845113
installment,0.0034769431
addr_state_WV,0.0034677053
addr_state_AL,0.0034506063
earliest_cr_line_Oct_76,0.0034466083
earliest_cr_line_Feb_84,0.0034243518
addr_state_MD,0.003409167
addr_state_HI,0.003406452
earliest_cr_line_Jul_90,0.0034056846
addr_state_TN,0.0033837322
earliest_cr_line_Jan_96,0.0033761223
sub_grade_C1,0.0033675355
earliest_cr_line_Nov_94,0.0033625555
emp_length_2_years,0.003350331
earliest_cr_line_Aug_01,0.0033494735
earliest_cr_line_Apr_88,0.0033252472
earliest_cr_line_Apr_94,0.0033241173
purpose_small_business,0.003323856
open_acc,0.0033120455
addr_state_TX,0.0033118194
earliest_cr_line_Aug_09,0.003285101
sub_grade_B3,0.0032789488
delinq_2yrs,0.0032731057
addr_state_RI,0.003269802
earliest_cr_line_Jun_92,0.0032646002
earliest_cr_line_Jun_99,0.0032294884
earliest_cr_line_Jan_91,0.0032244874
earliest_cr_line_Jul_01,0.003221682
earliest_cr_line_Feb_88,0.0032209125
earliest_cr_line_Jun_01,0.0032205596
revol_util,0.0032099022
bc_util,0.0032028516
earliest_cr_line_Nov_97,0.0031960786
earliest_cr_line_Jan_02,0.003195272
earliest_cr_line_Sep_02,0.0031917125
addr_state_MS,0.0031674698
earliest_cr_line_Nov_03,0.0031624818
earliest_cr_line_Dec_08,0.003156641
addr_state_IL,0.0031507541
earliest_cr_line_Feb_85,0.0031489055
earliest_cr_line_Dec_07,0.0031343794
addr_state_NC,0.003115393
tot_coll_amt,0.0031110472
initial_list_status_w,0.0031057002
grade_D,0.0030877788
earliest_cr_line_Mar_93,0.003080069
percent_bc_gt_75,0.0030757848
sub_grade_A5,0.0030546333
verification_status_Source_Verified,0.0030537355
earliest_cr_line_Jul_94,0.0030486928
earliest_cr_line_Jan_99,0.003015887
earliest_cr_line_Nov_98,0.002979836
earliest_cr_line_Dec_97,0.0029760068
sub_grade_D1,0.0029653767
earliest_cr_line_Apr_01,0.0029563822
earliest_cr_line_Mar_00,0.002950198
earliest_cr_line_Mar_94,0.0029411768
earliest_cr_line_Mar_12,0.0029172031
earliest_cr_line_Jan_68,0.0029131067
addr_state_NY,0.0029130105
earliest_cr_line_Apr_09,0.0029100026
earliest_cr_line_Apr_95,0.0029076894
earliest_cr_line_Dec_05,0.0029069062
earliest_cr_line_Aug_91,0.0028757625
earliest_cr_line_Sep_87,0.0028717658
earliest_cr_line_Jul_99,0.0028638477
earliest_cr_line_Oct_87,0.0028637717
addr_state_NH,0.002852351
earliest_cr_line_Mar_95,0.0028509714
addr_state_SD,0.0028500282
addr_state_AR,0.0028442957
earliest_cr_line_Apr_86,0.0028440466
earliest_cr_line_May_95,0.0028285568
addr_state_CT,0.0028216022
sub_grade_B1,0.0028154857
loan_amnt,0.0028131034
earliest_cr_line_Apr_97,0.0028108687
acc_now_delinq,0.002779395
sub_grade_B2,0.0027624313
earliest_cr_line_Dec_85,0.0027622094
earliest_cr_line_Mar_96,0.002734338
earliest_cr_line_Sep_03,0.002721424
earliest_cr_line_Jan_93,0.002708676
earliest_cr_line_Jun_08,0.0027069345
earliest_cr_line_Nov_80,0.002681458
emp_length_10__years,0.0026677165
earliest_cr_line_Jun_93,0.0026611856
addr_state_DC,0.002658944
earliest_cr_line_Aug_08,0.0026526062
earliest_cr_line_Apr_67,0.0026311537
earliest_cr_line_Oct_98,0.0026035071
earliest_cr_line_Dec_02,0.0025988037
earliest_cr_line_Jun_98,0.0025854579
earliest_cr_line_Nov_08,0.0025826788
purpose_other,0.002575544
total_acc,0.0025722536
